time,open,high,low,close,volume
2025-04-13 11:00:00,84690,84765,84224,84520,78.8183
2025-04-13 12:00:00,84520,84682,84232,84450,99.2262
2025-04-13 13:00:00,84450,84594,83470,83579,178.934
2025-04-13 14:00:00,83579,84137,83462,84073,201.6852
2025-04-13 15:00:00,84073,84073,83654,83840,98.6002
2025-04-13 16:00:00,83840,84408,83829,84225,209.7149
2025-04-13 17:00:00,84225,85013,84192,84772,211.6124
2025-04-13 18:00:00,84772,84967,84522,84732,136.3316
2025-04-13 19:00:00,84732,84732,83018,83970,651.985399999999
2025-04-13 20:00:00,83970,84419,83144,83478,400.8898
2025-04-13 21:00:00,83478,83835,83021,83580,405.9147999999999
2025-04-13 22:00:00,83580,83858,83147,83313,148.6298
2025-04-13 23:00:00,83313,83827,83141,83737,108.5837
2025-04-14 00:00:00,83737,85185,83675,84325,357.8592000000001
2025-04-14 01:00:00,84325,84662,84059,84209,116.4708
2025-04-14 02:00:00,84209,85574,84014,85108,237.7433
2025-04-14 03:00:00,85108,85108,84432,84551,208.8104
2025-04-14 04:00:00,84551,85086,84401,84853,87.9598
2025-04-14 05:00:00,84853,84974,84323,84558,148.9064
2025-04-14 06:00:00,84558,84630,84269,84612,79.6104
2025-04-14 07:00:00,84612,84786,84213,84576,115.47
2025-04-14 08:00:00,84576,84947,84433,84745,143.0368
2025-04-14 09:00:00,84745,84901,84233,84441,85.8119
2025-04-14 10:00:00,84441,84818,84292,84654,132.3308
2025-04-14 11:00:00,84654,84960,84501,84930,85.6505
2025-04-14 12:00:00,84930,85229,84745,85102,142.8213
2025-04-14 13:00:00,85102,85278,84066,84369,251.1441
2025-04-14 14:00:00,84369,85818,84268,85418,362.4426000000001
2025-04-14 15:00:00,85418,85462,83703,84096,465.5823
2025-04-14 16:00:00,84096,84665,83856,84322,395.4966
2025-04-14 17:00:00,84322,84885,84208,84859,170.8228
2025-04-14 18:00:00,84859,85068,84682,84990,184.6061
2025-04-14 19:00:00,84990,85217,84764,84895,302.3628999999999
2025-04-14 20:00:00,84895,84962,84515,84848,184.1029
2025-04-14 21:00:00,84848,84960,84435,84701,105.4792
2025-04-14 22:00:00,84701,84738,84413,84495,82.3895
2025-04-14 23:00:00,84495,84767,84414,84576,51.7374
2025-04-15 00:00:00,84576,84966,84337,84902,130.9274
2025-04-15 01:00:00,84902,85121,84525,84962,106.0078
2025-04-15 02:00:00,84962,85293,84693,85209,112.7776
2025-04-15 03:00:00,85209,85411,85063,85363,245.0169000000001
2025-04-15 04:00:00,85363,85519,85148,85479,148.6878
2025-04-15 05:00:00,85479,85850,85473,85525,128.6561
2025-04-15 06:00:00,85525,85674,85341,85379,66.2598
2025-04-15 07:00:00,85379,85770,85379,85727,50.8346
2025-04-15 08:00:00,85727,85992,85654,85825,201.7756000000001
2025-04-15 09:00:00,85825,85985,85600,85983,68.3261
2025-04-15 10:00:00,85983,86018,85444,85643,73.238
2025-04-15 11:00:00,85643,85669,85361,85588,95.3069
2025-04-15 12:00:00,85588,85823,85450,85819,76.4301
2025-04-15 13:00:00,85819,86471,85514,85577,368.3542000000001
2025-04-15 14:00:00,85577,85981,84822,85139,673.009300000001
2025-04-15 15:00:00,85139,85388,84619,84903,143.961
2025-04-15 16:00:00,84903,85137,84778,84853,71.3734
2025-04-15 17:00:00,84853,85006,84400,84468,160.3736
2025-04-15 18:00:00,84468,84599,84150,84187,145.7248
2025-04-15 19:00:00,84187,84229,83915,83993,147.9064
2025-04-15 20:00:00,83993,84211,83810,84030,112.5996
2025-04-15 21:00:00,84030,84256,83882,84180,82.8044
2025-04-15 22:00:00,84180,84180,83685,83832,102.1335
2025-04-15 23:00:00,83832,83857,83603,83641,69.2028
2025-04-16 00:00:00,83641,83699,83123,83137,94.2998
2025-04-16 01:00:00,83137,83644,83086,83606,114.1758
2025-04-16 02:00:00,83606,83919,83582,83883,48.7323
2025-04-16 03:00:00,83883,83943,83657,83689,23.5903
2025-04-16 04:00:00,83689,83788,83400,83576,95.4498
2025-04-16 05:00:00,83576,83809,83221,83364,149.6634
2025-04-16 06:00:00,83364,83726,83263,83646,47.9282
2025-04-16 07:00:00,83646,83756,83309,83369,53.9478
2025-04-16 08:00:00,83369,84110,83120,83737,260.3667
2025-04-16 09:00:00,83737,83933,83595,83596,103.585
2025-04-16 10:00:00,83596,83988,83566,83940,62.3194
2025-04-16 11:00:00,83940,84130,83778,84047,90.2445
2025-04-16 12:00:00,84047,84261,83717,83754,146.0717
2025-04-16 13:00:00,83754,84201,83482,83728,170.1114
2025-04-16 14:00:00,83728,84850,83709,84605,283.4926
2025-04-16 15:00:00,84605,85255,84505,84834,320.264
